date,hashtag,mentions,estimated_reach,sentiment_score,top_country
2024-09-18,#machinelearning,5050,22203,-0.37,Turkey
2024-06-07,#ai,165612,969784,-0.57,Japan
2025-02-13,#sustainability,165153,704619,-0.59,South Africa
2024-09-04,#deeplearning,40872,144564,0.99,Mexico
2025-03-23,#machinelearning,30013,141475,-0.09,Egypt
2025-05-12,#aiart,138860,292512,0.29,Uk
2025-05-19,#deeplearning,110451,340479,0.22,Uk
2024-11-16,#deeplearning,87267,418465,-0.16,Canada
2025-02-03,#deeplearning,77680,204541,-0.12,Russia
2025-03-30,#sustainability,2221,5279,-0.33,China
2024-06-10,#aiart,93883,285168,-0.82,Egypt
2024-11-01,#aiart,59069,90824,-0.92,Russia
2024-07-15,#aiart,27684,97702,-0.41,Spain
2024-07-18,#machinelearning,158483,710254,-0.15,Japan
2024-11-03,#machinelearning,25347,95368,0.48,Brazil
2024-06-11,#ai,61267,359783,0.75,Germany
2024-10-02,#ai,128333,269542,0.2,Russia
2024-08-06,#aiart,24403,61225,-0.69,Egypt
2024-08-17,#machinelearning,60713,169765,0.17,Nigeria
2024-10-05,#sustainability,79995,196407,-0.3,Egypt
2024-05-31,#sustainability,163300,424352,-0.75,Canada
2025-04-28,#aiart,83252,200395,-0.84,Italy
2024-11-26,#blockchain,75613,155788,0.61,India
2024-06-05,#ai,31900,104084,-0.43,Usa
2025-03-06,#deeplearning,140256,288023,0.48,Nigeria
2024-08-17,#deeplearning,62480,159479,-0.69,France
2025-05-07,#aiart,28747,46521,0.38,Uk
2024-08-02,#aiart,43511,146764,0.35,Italy
2024-11-06,#blockchain,168025,893454,0.95,Usa
2024-06-06,#aiart,60068,130920,-0.02,Indonesia
2025-01-26,#sustainability,48268,196289,-0.86,Turkey
2024-07-25,#machinelearning,27427,102997,0.96,Uk
2024-07-20,#ai,12299,23871,0.22,Egypt
2024-06-14,#blockchain,51617,270116,-0.28,Japan
2025-05-17,#machinelearning,62305,341861,-0.24,Usa
2024-10-03,#blockchain,109278,465544,0.27,Uk
2024-11-21,#aiart,105797,579460,0.32,Turkey
2025-01-15,#ai,173394,907412,-0.08,Japan
2025-04-03,#deeplearning,129182,505597,0.26,Russia
2024-11-15,#deeplearning,192027,870470,0.44,Russia
2025-04-17,#sustainability,20696,74646,0.71,Spain
2024-10-02,#deeplearning,80575,214807,-0.47,Usa
2025-05-16,#machinelearning,66909,267708,-0.12,Uk
2024-08-18,#ai,185991,302535,-0.39,Japan
2024-10-13,#ai,1742,8984,0.75,Indonesia
2024-07-12,#machinelearning,144532,373928,-0.89,Spain
2024-11-22,#blockchain,103844,273478,-0.97,Germany
2025-02-15,#sustainability,114739,657878,0.44,Usa
2024-10-11,#machinelearning,117433,628995,0.64,France
2024-07-15,#machinelearning,117648,349713,-0.61,Egypt
2024-12-20,#machinelearning,147672,877021,0.61,France
2025-04-12,#aiart,114293,482522,0.55,Usa
2025-03-03,#machinelearning,78984,146918,0.43,South Africa
2025-02-21,#aiart,91719,322054,-0.97,France
2024-11-20,#blockchain,56460,283459,0.88,India
2024-12-18,#blockchain,154812,368677,-0.94,Usa
2025-01-11,#blockchain,181840,967114,-0.27,Japan
2025-05-08,#deeplearning,166878,776447,0.83,Japan
2024-11-12,#aiart,35861,88576,-0.54,Italy
2024-08-10,#machinelearning,50080,131474,-0.87,Russia
2024-07-28,#blockchain,129903,529397,0.21,Russia
2024-09-30,#machinelearning,40734,163485,0.96,China
2024-10-01,#sustainability,70953,178670,0.34,Spain
2025-01-25,#sustainability,8071,31941,-0.06,Uk
2024-11-02,#blockchain,91158,437777,0.13,Australia
2024-11-12,#aiart,97858,279068,-0.08,Uk
2024-07-22,#deeplearning,113888,611876,-0.25,Spain
2024-07-10,#sustainability,59976,104433,-0.04,Italy
2025-03-29,#sustainability,122748,645188,-0.32,China
2024-07-02,#sustainability,196171,448187,-0.03,Spain
2024-11-12,#blockchain,44585,107586,-0.78,Uk
2025-04-02,#machinelearning,186715,1013490,-0.5,Italy
2024-11-02,#sustainability,68882,371863,0.71,Brazil
2025-03-14,#ai,151038,636780,-0.33,Mexico
2024-12-21,#aiart,129144,379121,-0.21,India
2024-12-24,#aiart,84334,213526,-0.78,Germany
2024-07-22,#machinelearning,140467,454964,0.82,Egypt
2024-11-17,#machinelearning,50857,219173,-0.53,France
2024-09-20,#blockchain,24612,110756,-0.92,Nigeria
2025-04-28,#aiart,127401,748516,0.65,Uk
2024-09-17,#aiart,44300,87857,-1.0,China
2024-12-13,#blockchain,67150,323411,-0.7,South Africa
2025-05-16,#blockchain,39966,93677,-0.61,Spain
2024-06-07,#blockchain,23282,119524,0.28,Usa
2025-04-24,#sustainability,2249,4856,-0.47,India
2024-10-12,#sustainability,189077,723040,-0.25,South Korea
2024-11-24,#blockchain,175524,857555,0.07,Nigeria
2024-08-30,#machinelearning,137224,621359,0.03,Spain
2025-01-10,#deeplearning,117889,657256,-0.45,Uk
2024-12-31,#machinelearning,183866,920030,-0.42,Canada
2025-01-09,#sustainability,72429,339433,0.1,Australia
2024-06-22,#machinelearning,10501,61825,0.27,South Africa
2024-09-25,#ai,181024,778289,-0.73,Australia
2025-03-29,#blockchain,40301,64264,0.2,Egypt
2024-07-03,#ai,38809,164449,-0.87,Italy
2024-06-19,#ai,119548,529337,0.28,Australia
2024-06-28,#ai,46122,193452,0.16,China
2024-07-08,#ai,36852,216584,0.21,Uk
2025-03-26,#aiart,40821,76055,-0.14,Japan
2025-01-03,#sustainability,197623,950372,0.73,South Korea
2024-09-20,#sustainability,137239,761581,-0.29,France
2025-03-31,#deeplearning,56609,274499,0.53,Brazil
2024-08-19,#ai,124888,340041,-0.21,Russia
2024-06-19,#sustainability,23063,131481,-0.03,Japan
2025-03-08,#machinelearning,187180,713265,0.59,Turkey
2025-03-16,#ai,23722,90814,0.27,Brazil
2024-08-14,#sustainability,57719,338907,-0.45,Brazil
2024-09-08,#ai,80691,449449,-0.79,Russia
2025-02-13,#aiart,5729,32641,-0.17,Usa
2024-06-16,#blockchain,128531,412216,0.57,Indonesia
2024-06-02,#aiart,116765,668424,0.16,South Africa
2025-05-14,#blockchain,67682,378797,0.17,Usa
2024-07-31,#machinelearning,90009,248575,0.02,Uk
2024-06-28,#sustainability,8794,46030,-0.75,Russia
2025-05-06,#machinelearning,3691,10262,0.97,Australia
2024-05-28,#sustainability,136639,704975,0.03,South Korea
2024-07-21,#machinelearning,174801,791832,-0.78,Indonesia
2024-09-20,#aiart,117089,578402,-0.98,Nigeria
2024-11-27,#deeplearning,78092,455929,-0.45,India
2025-01-16,#ai,140520,310974,-0.47,Germany
2024-08-03,#blockchain,129870,528198,-0.67,Mexico
