ds,yhat,yhat_lower,yhat_upper
2022-01-01,1560939.3651811425,668824.1735813802,2494089.5970012164
2022-01-02,1715317.641069646,767796.2580661692,2607972.129388082
2022-01-03,1703830.5655394518,783641.1208858906,2623378.7717075585
2022-01-04,1671105.0763354392,761972.4644644146,2590313.190394459
2022-01-05,1706584.5382728463,797396.0871703182,2637899.4584434377
2022-01-06,1758741.0032612695,830070.7219514131,2747220.4026962533
2022-01-07,1744484.8215245227,840878.0679933009,2701801.1931744055
2022-01-08,1561269.449410786,637185.3644394177,2547010.796272042
2022-01-09,1715647.7252993095,789841.692633868,2674464.9943946074
2022-01-10,1704160.6497688503,815330.3908877681,2728399.404591144
2022-01-11,1671435.1605652487,735585.307582372,2600620.6331199678
2022-01-12,1706914.6225029053,775622.5187168526,2581209.8168837903
2022-01-13,1759071.0874908431,885868.4756145993,2634231.4233193933
2022-01-14,1744814.9057547797,804125.39959853,2682207.9423735
2022-01-15,1561599.533640392,634614.8938230814,2509327.0839279597
2022-01-16,1715977.8095291145,768882.9334589951,2660369.117810473
2022-01-17,1704490.733998496,707955.5005323079,2674485.786586246
2022-01-18,1671765.2447950589,808916.4751734764,2610165.5530836605
2022-01-19,1707244.7067319306,757465.2460514571,2622189.2522534216
2022-01-20,1759401.1717204163,821670.1715271126,2768461.3936890406
2022-01-21,1745144.9899841861,827393.6020994133,2682700.5459786905
2022-01-22,1561929.6178699888,583402.71417474,2571582.3004578296
2022-01-23,1716307.8937586357,726474.2658597311,2714932.1489368267
2022-01-24,1704820.8182285156,768482.6738377227,2628869.034143973
2022-01-25,1672095.3290316511,701854.2927629646,2628976.414533615
2022-01-26,1707574.790976469,737456.5096021674,2600559.788938058
2022-01-27,1759731.2559723943,792170.0961697736,2733741.8381733806
2022-01-28,1745475.074243276,753864.1058034156,2697108.253512485
2022-01-29,1562259.7021365326,678432.2302166309,2503132.486680247
2022-01-30,1716637.9780323186,770234.7170097427,2658408.8560268655
2022-01-31,1705150.9025098865,756791.8325740842,2697532.8627259983
2022-02-01,1672425.4133131863,692262.1774036521,2582316.787955978
2022-02-02,1707904.8752576539,778347.3523685576,2629423.0964016453
2022-02-03,1760061.3402534565,763487.803692137,2699317.5352482344
2022-02-04,1745805.1585251319,856632.0934160779,2651066.2663855674
2022-02-05,1562589.7864178726,549472.5122948732,2508713.6601609136
2022-02-06,1716968.0623137073,739475.3455137986,2699316.5704829996
2022-02-07,1705480.98679101,760026.6566494753,2637867.2227345877
2022-02-08,1672755.497594418,659344.6029534872,2580670.406521293
2022-02-09,1708234.959538839,796827.8747399799,2592808.8022516547
2022-02-10,1760391.4245349101,788325.3721102678,2719105.690053818
2022-02-11,1746135.2428063897,818419.8972478397,2657897.965503718
2022-02-12,1562919.8706991952,637087.5918885291,2501445.705026568
2022-02-13,1717298.1465952382,739988.2017110233,2616999.7818637835
2022-02-14,1705811.0710723812,763951.5176029074,2699418.7276139753
2022-02-15,1673085.5818758528,693288.0827475304,2628071.632692133
2022-02-16,1708565.0438206235,713552.3655328545,2641326.3060291093
2022-02-17,1760721.508815972,844572.6978563421,2687157.6790401544
2022-02-18,1746465.3271108177,766697.8114291872,2661231.1346272593
2022-02-19,1563249.9550271188,637943.4524741337,2478865.500537868
2022-02-20,1717628.2309466575,834521.0693828919,2596539.7518537836
2022-02-21,1706141.1554466898,752842.4484133254,2648517.6204813495
2022-02-22,1673415.666273566,731713.3966744954,2683334.119326493
2022-02-23,1708895.1282415863,705475.301261996,2617484.715513125
2022-02-24,1761051.5932605814,851245.2948561758,2687223.1321683917
2022-02-25,1746795.4115551491,799285.8938920432,2727043.740710658
2022-02-26,1563580.0394715709,666323.3885722769,2557412.0856865817
2022-02-27,1717958.315390377,777009.6942270097,2643011.0179362386
2022-02-28,1706471.2398913824,750666.4997751495,2673569.5737801264
2022-03-01,1673745.750718175,687113.7831106747,2612480.573919028
2022-03-02,1709225.2126861452,768877.6520842813,2623658.4709335417
2022-03-03,1761381.6777048726,782626.6444250282,2750185.2802902153
2022-03-04,1747125.4959993549,779734.7470374404,2675282.808314854
2022-03-05,1563910.123915976,621054.9216652696,2474090.1842301586
2022-03-06,1718288.3998348396,738057.2277158886,2637253.579574666
2022-03-07,1706801.32433558,785618.8938964084,2684646.5837874333
2022-03-08,1674075.835162481,690182.9047217274,2594840.6965771555
2022-03-09,1709555.2971302695,753753.1745018521,2722967.1929099676
2022-03-10,1761711.7621492452,798639.0032846795,2712628.4316274705
2022-03-11,1747455.580443813,811017.1912675314,2689336.035449321
2022-03-12,1564240.2083603723,573559.0327592493,2471099.512981247
2022-03-13,1718661.0798134047,828076.0973037477,2661534.412392367
2022-03-14,1707216.5998480718,792893.8792262146,2640864.981881568
2022-03-15,1674533.7062089704,761962.6394139132,2606186.2195714996
2022-03-16,1710055.7637106683,750419.9643942182,2644491.3372215847
2022-03-17,1762254.824263418,827373.6288572657,2741008.657786965
2022-03-18,1748041.2380917785,863152.735733006,2668723.9138797396
2022-03-19,1564868.4615424979,675134.3417378458,2517319.0455971295
2022-03-20,1719289.3329957298,805051.5179416554,2623118.3649877068
2022-03-21,1707844.853030237,751943.3356188032,2677528.818015266
2022-03-22,1675161.9593906926,747274.7581256891,2664332.8138200673
2022-03-23,1710684.0168929473,746594.6838315704,2652576.63632814
2022-03-24,1762883.077445747,836142.2983843373,2772316.7173869717
2022-03-25,1748669.4912744288,714078.5171055248,2725856.8047101744
2022-03-26,1565496.7147246697,586646.0195380987,2494903.3106920957
2022-03-27,1719917.586177912,747149.9443506125,2667852.4001256707
2022-03-28,1708473.106212402,693388.2468147957,2552195.8567419047
