ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-01,1706986.1848917801,1514549.4939408742,2159392.1527296836,1706986.1848917801,1706986.1848917801,132527.04017953898,132527.04017953898,132527.04017953898,73699.93070888,73699.93070888,73699.93070888,-49.4502666840263,-49.4502666840263,-49.4502666840263,58876.55973734299,58876.55973734299,58876.55973734299,0.0,0.0,0.0,1839513.2250713191
2023-12-02,1707209.4203045007,1554951.3513149507,2185100.804091708,1707209.4203045007,1707209.4203045007,154356.26857282076,154356.26857282076,154356.26857282076,73699.93070888,73699.93070888,73699.93070888,-281.5995924338057,-281.5995924338057,-281.5995924338057,80937.93745637457,80937.93745637457,80937.93745637457,0.0,0.0,0.0,1861565.6888773215
2023-12-03,1707432.6557172216,1522188.4912958222,2208367.458064147,1707432.6557172216,1707432.6557172216,175166.4114366895,175166.4114366895,175166.4114366895,73699.93070888,73699.93070888,73699.93070888,-424.4691078122121,-424.4691078122121,-424.4691078122121,101890.94983562171,101890.94983562171,101890.94983562171,0.0,0.0,0.0,1882599.067153911
2023-12-04,1707655.8911299426,1617167.3944767835,2204075.012365373,1707655.8911299426,1707655.8911299426,196049.4561825039,196049.4561825039,196049.4561825039,73699.93070888,73699.93070888,73699.93070888,893.045123793872,893.045123793872,893.045123793872,121456.48034983003,121456.48034983003,121456.48034983003,0.0,0.0,0.0,1903705.3473124465
2023-12-05,1707879.1265426632,1615731.8195773028,2230273.615683559,1707879.1265426632,1707879.1265426632,212869.62481460682,212869.62481460682,212869.62481460682,73699.93070888,73699.93070888,73699.93070888,-224.2281659956306,-224.2281659956306,-224.2281659956306,139393.92227172243,139393.92227172243,139393.92227172243,0.0,0.0,0.0,1920748.75135727
2023-12-06,1708102.361955384,1613252.5811483467,2254535.143758094,1708100.5219766744,1708102.361955384,228297.3227110321,228297.3227110321,228297.3227110321,73699.93070888,73699.93070888,73699.93070888,-907.033141952533,-907.033141952533,-907.033141952533,155504.4251441046,155504.4251441046,155504.4251441046,0.0,0.0,0.0,1936399.6846664161
2023-12-07,1708325.597368105,1642130.766221877,2270156.344399628,1708320.8470474347,1708326.2793148146,244326.59009150785,244326.59009150785,244326.59009150785,73699.93070888,73699.93070888,73699.93070888,993.735151083809,993.735151083809,993.735151083809,169632.92423154405,169632.92423154405,169632.92423154405,0.0,0.0,0.0,1952652.187459613
2023-12-08,1708548.8327808257,1632179.0710022652,2270728.8882254437,1708538.759293042,1708552.487823667,255319.42258551644,255319.42258551644,255319.42258551644,73699.93070888,73699.93070888,73699.93070888,-49.450266684987334,-49.450266684987334,-49.450266684987334,181668.9421433214,181668.9421433214,181668.9421433214,0.0,0.0,0.0,1963868.2553663421
2023-12-09,1708772.0681935467,1658866.334290224,2294064.932924086,1708756.4036432672,1708781.437091872,264964.5175136551,264964.5175136551,264964.5175136551,73699.93070888,73699.93070888,73699.93070888,-281.59959243321265,-281.59959243321265,-281.59959243321265,191546.1863972083,191546.1863972083,191546.1863972083,0.0,0.0,0.0,1973736.5857072019
2023-12-10,1708995.3036062673,1660627.8742461132,2287684.9774590847,1708974.1406775918,1709009.4713730896,272516.4615491264,272516.4615491264,272516.4615491264,73699.93070888,73699.93070888,73699.93070888,-424.4691078106337,-424.4691078106337,-424.4691078106337,199240.99994805708,199240.99994805708,199240.99994805708,0.0,0.0,0.0,1981511.7651553936
