Post_Date,Hashtag,Likes,Views,Shares
2022-01-01,#comedy,449162,721858,91563
2022-01-01,#fitness,558055,6686971,19318
2022-01-01,#tech,361801,1060377,39128
2022-01-02,#comedy,319242,3742763,96252
2022-01-02,#dance,309847,3830713,47878
2022-01-02,#education,280770,55629,79724
2022-01-02,#fitness,59927,2940958,59494
2022-01-02,#music,320547,986920,73945
2022-01-03,#challenge,430185,3734868,97021
2022-01-03,#dance,4652,4615991,67987
2022-01-03,#tech,447312,4381948,139742
2022-01-03,#viral,149844,275149,9065
2022-01-04,#dance,526773,5985618,175546
2022-01-04,#gaming,482348,4839145,51534
2022-01-04,#tech,611116,1123298,161394
2022-01-04,#viral,386951,3620241,38015
2022-01-05,#challenge,442816,2631238,29304
2022-01-05,#education,468829,2277825,14948
2022-01-05,#gaming,5801,4198164,27958
2022-01-05,#tech,636289,7317546,161546
2022-01-06,#challenge,89502,2883752,34959
2022-01-06,#comedy,503149,3342851,90744
2022-01-06,#education,290855,6178111,110379
2022-01-06,#fashion,176014,520087,18821
2022-01-06,#fitness,284181,4714948,38342
2022-01-06,#gaming,405577,3553589,77631
2022-01-06,#viral,443197,2927977,69420
2022-01-07,#challenge,520003,5902277,122246
2022-01-07,#comedy,333971,2251120,79937
2022-01-07,#education,449803,4357851,63438
2022-01-07,#fashion,322897,10157,93292
2022-01-07,#fitness,361857,3943560,53708
2022-01-07,#tech,49027,884967,43339
2022-01-07,#viral,30695,2758290,65435
2022-01-08,#challenge,402282,664480,61942
2022-01-08,#education,327683,670841,58507
2022-01-08,#music,487176,961891,12329
2022-01-09,#dance,351332,3989657,76680
2022-01-09,#education,355832,338935,51514
2022-01-09,#fashion,69910,1853103,4470
2022-01-09,#fitness,167281,2756985,38374
2022-01-09,#gaming,54581,736350,85663
2022-01-09,#music,357203,2610727,6242
2022-01-09,#tech,57785,2044541,95543
2022-01-09,#viral,176050,4627367,52562
2022-01-10,#challenge,129066,2041537,16337
2022-01-10,#comedy,492614,569201,22513
2022-01-10,#dance,197632,681752,98860
2022-01-10,#fitness,123664,2580641,69711
2022-01-10,#music,33634,1333519,67008
2022-01-10,#tech,160489,4261296,27495
2022-01-10,#viral,306635,489158,58291
2022-01-11,#comedy,348443,336698,1797
2022-01-11,#dance,282026,5851589,104996
2022-01-11,#education,271549,3849113,55550
2022-01-11,#fashion,468293,1707547,62396
2022-01-11,#gaming,419303,6376341,161889
2022-01-11,#music,484300,1803388,31088
2022-01-11,#tech,212639,4818440,24551
2022-01-11,#viral,221371,2005876,29199
2022-01-12,#education,389906,4387929,66441
2022-01-12,#fashion,306470,1123564,76377
2022-01-12,#fitness,45301,2552020,86964
2022-01-12,#gaming,566916,2521129,94559
2022-01-12,#tech,381718,3346455,62877
2022-01-13,#challenge,339431,4163464,53135
2022-01-13,#music,324630,1632421,37308
2022-01-13,#tech,417567,3583065,36439
2022-01-14,#dance,201616,2177286,27274
2022-01-14,#fashion,628439,1942352,185500
2022-01-14,#fitness,44861,4820393,86973
2022-01-14,#gaming,454177,4087369,76883
2022-01-14,#music,429470,3596679,19732
2022-01-15,#education,487011,4746993,88442
2022-01-15,#gaming,251591,791211,9900
2022-01-15,#tech,282587,1200061,23371
2022-01-15,#viral,243442,460366,29282
2022-01-16,#challenge,518397,9035470,127383
2022-01-16,#comedy,179308,1172906,12608
2022-01-16,#fitness,87051,534126,54840
2022-01-16,#music,200871,5972574,106636
2022-01-16,#tech,417326,320458,92430
2022-01-17,#comedy,401407,1691495,115891
2022-01-17,#dance,135138,3218932,58808
2022-01-17,#education,1305705,8436503,103307
2022-01-17,#music,320317,925089,16914
2022-01-18,#dance,79314,6516632,105628
2022-01-18,#education,155733,3989382,30200
2022-01-18,#fashion,73518,3678890,35146
2022-01-18,#music,43344,2255727,23104
2022-01-18,#tech,186192,7235114,96911
2022-01-18,#viral,226624,3179227,320
2022-01-19,#education,377156,2116939,135100
2022-01-19,#fitness,881589,7659176,61227
2022-01-19,#gaming,57101,2364689,14115
2022-01-19,#music,292286,3312891,6952
2022-01-20,#comedy,342345,2525420,97958
2022-01-20,#education,388958,1740963,2389
2022-01-20,#fashion,492842,3075439,52193
2022-01-20,#fitness,851579,2679718,220619
2022-01-20,#gaming,422491,853053,51824
2022-01-20,#tech,15538,3448262,92514
2022-01-20,#viral,563892,7852171,136451
2022-01-21,#challenge,491383,1213370,103783
2022-01-21,#fashion,162101,764769,30721
2022-01-21,#gaming,126301,1267418,32692
2022-01-21,#music,396506,29816,411
2022-01-21,#viral,449350,3703315,54600
2022-01-22,#dance,316772,3927986,85104
2022-01-22,#tech,104899,112432,35468
2022-01-22,#viral,53379,2763725,35169
2022-01-23,#comedy,90799,567506,30845
2022-01-23,#education,491963,778600,55403
2022-01-23,#fashion,119786,4386555,77421
2022-01-23,#gaming,47437,4143188,53378
2022-01-23,#viral,296181,4007626,64879
2022-01-24,#challenge,19437,3105849,81661
